Name	logE-evidence	error  
GRB080916C	-19.150809	0.053478
GRB081221	-11.211738	0.052821
GRB090328	-37.152337	0.082232
GRB090618	-23.241636	0.052657
GRB090926A	-7.619633	0.058058
GRB091003A	1.298780	0.054990
GRB100728A	-34.975434	0.050389
GRB120119A	-16.037007	0.050525
GRB130427A	-4.173273	0.076517
GRB130518A	-2.750281	0.066387
GRB130925A	-40.672041	0.069976
GRB131108A	-9.965305	0.057194
GRB131231A	-17.877628	0.072731
GRB140206A	-12.545508	0.059237
GRB140508A	-7.201785	0.047526
GRB141028A	-16.752217	0.043733
GRB150314A	-14.103726	0.072408
GRB150403A	-10.101430	0.053383
GRB150514A	-1.075996	0.049684
GRB150821A	-27.005700	0.056633
GRB160509A	-4.773603	0.052801
GRB160625B	-69.065590	0.092082
GRB171010A	-28.430625	0.051716
GRB180703A	-55.210644	0.057979
GRB180720B	-6.362645	0.053129
GRB190114C	-9.767801	0.073083
GRB200613A	-15.891435	0.049014
GRB200829A	-9.507953	0.072192
GRB201216C	-16.594825	0.053360
GRB210204A	-64.543676	0.061139
GRB210610B	-32.847603	0.051767
GRB210619B	3.080313	0.093822
